標記內容	宣傳手法	原句
陷	LL	或 台獨 反而 將 使 台灣 邊緣化 而 經濟 更 陷 困境 ？
 困境	LL	或 台獨 反而 將 使 台灣 邊緣化 而 經濟 更 陷 困境 ？
倒退	LL	這 是 大約 倒退 三十 年 的 大 逆流 ，
逆流	LL	這 是 大約 倒退 三十 年 的 大 逆流 ，
扭曲	LL	對 台灣史 及 中華民國 內涵 的 變造 、 扭曲 及 汙蔑 中 教育 而 成 的 。
變造	LL	對 台灣史 及 中華民國 內涵 的 變造 、 扭曲 及 汙蔑 中 教育 而 成 的 。
汙蔑	LL	對 台灣史 及 中華民國 內涵 的 變造 、 扭曲 及 汙蔑 中 教育 而 成 的 。
謬論	LL	但 蔡英文 竟 也 發表 「 台獨 是 天然 成分 ╱ 中國 會 向 民進黨 調整 」 的 謬論 ，
矛盾	LL	其中 的 矛盾 ，
陷	LL	若 陷 蔡英文 、 民進黨 及 整 個 台灣 於 「 地 動 山搖 」 ，
剝奪	LL	但 解決 台灣 世代 剝奪 、 經濟 困境 、 全球化 挑戰 及 兩岸 競合 的 方案 絕非 台獨 路線 。
 困境	LL	但 解決 台灣 世代 剝奪 、 經濟 困境 、 全球化 挑戰 及 兩岸 競合 的 方案 絕非 台獨 路線 。
衝擊	LL	禁不起 一 批 學生 的 衝擊 ，
陷	LL	瞬間 即 陷入 癱瘓 ，
癱瘓	LL	瞬間 即 陷入 癱瘓 ，
捍衛	LL	本 應 嚴正 捍衛 國會 的 尊嚴 、 自主 與 不可 侵犯 ，
難堪	LL	但 王金平 的 全部 心思 卻 放 在 如何 利用 學運 給 馬政府 難堪 ，
交易	LL	拿 法案 作為 交易 。
撕裂	LL	甚至 是 在 撕裂 及 分化 國民 意志 。
分化	LL	甚至 是 在 撕裂 及 分化 國民 意志 。
壟斷	LL	對 所謂 「 兩岸 政商 集團 」 壟斷 兩岸 交流 紅利 的 說法 ，
坐視	LL	坐視 情勢 惡化 ，
惡化	LL	坐視 情勢 惡化 ，
嚴重	LL	嚴重 失去 了 時空 轉換 的 方向感 ，
嚴重	LL	雖然 嚴重 「 教訓 」 了 執政黨 ，
陷	LL	台灣 將 一直 陷於 茫然 與 脫序 的 狀態 。
茫然	LL	台灣 將 一直 陷於 茫然 與 脫序 的 狀態 。
脫序	LL	台灣 將 一直 陷於 茫然 與 脫序 的 狀態 。
衝擊	LL	兩 次 運動 都 肇因 於 二 〇 〇 八 年 金融 危機 的 衝擊 。
危機	LL	他 收拾 金融 危機 的 手法 便 成 了 反彈 的 導火線 ；
矛盾	LL	卻 未 能 釐清 它們 之間 矛盾 的 可能性 。
嚴重	LL	也 對 共和黨 的 問政 造成 了 嚴重 的 拘絆 。
拘絆	LL	也 對 共和黨 的 問政 造成 了 嚴重 的 拘絆 。
上演	LL	下 一 幕 就 看 在 六月 可能 上演 的 柯 Ｐ 登陸 大 戲 。
打發	LL	就 能 打發 北京 及 社會 公評 ；
斷章取義	LL	他 也 必須 吞下 此 一 「 斷章取義 」 的 結論 ，
得寸進尺	LL	北京 正在 得寸進尺 ，
諷刺	LL	諷刺 的 是 ，
惡化	LL	恐怕 只 會 使 它 更 惡化 。
騙局	LL	第二 個 騙局 是 關於 綠營 內部 的 權力 鬥爭 問題 。
鬥爭	LL	第二 個 騙局 是 關於 綠營 內部 的 權力 鬥爭 問題 。
騙局	LL	這 豈不是 更 大 的 騙局 ？
憂慮	LL	這 項 憂慮 ，
杯葛	LL	她 又 揚言 將 比照 「 服貿 」 全力 杯葛 。
矛盾	LL	還 包括 了 她 自己 的 反覆 其 言 、 立場 前後 矛盾 ，
干擾	LL	只要 排除 選舉 障礙 及 日後 執政 干擾 即可 。
憂慮	LL	這 難道 不 是 台灣 人民 該 憂慮 的 事 ？
癱瘓	LL	向來 是 癱瘓 的 時間 比 運作 的 時候 多 ；
挟制	LL	並 受 太陽 花 勢力 的 挾制 而 困 陷於 台獨 論述 。
陷	LL	並 受 太陽 花 勢力 的 挾制 而 困 陷於 台獨 論述 。
陷	LL	卻 自 陷於 「 概括 承受 ╱ 反對 服 貿 」 的 政策性 矛盾 。
矛盾	LL	卻 自 陷於 「 概括 承受 ╱ 反對 服 貿 」 的 政策性 矛盾 。
杯葛	LL	再 加上 民進黨 的 極力 杯葛 ，
衝擊	LL	及至 近 兩 年 頻繁 的 社會 抗爭 及 太陽 花 事件 衝擊 ，
陷	LL	在 經濟 上 卻 陷入 互相 拉扯 的 泥淖 ，
泥淖	LL	在 經濟 上 卻 陷入 互相 拉扯 的 泥淖 ，
戲碼	LL	台灣 政壇 上演 的 只有 「 爭 」 、 「 反 」 、 「 拖 」 的 戲碼 ，
倒退	LL	整 個 台灣 經濟 一路 倒退 嚕 ，
動輒	LL	動輒 耗掉 國家 十幾 、 二十 年 的 時光 ，
干擾	LL	互相 干擾 與 詛咒 ，
詛咒	LL	互相 干擾 與 詛咒 ，
一廂情願	LL	同時 也 宣告 單 極權 力圖 像 已 無力 支撐 太陽 花 一廂情願 的 政治 想像 。
壟斷	LL	破除 少數 政商 集團 壟斷 兩岸 交流 利益 ，
仇恨	LL	半 世紀 前 彈 如 雨 落 的 創痕 與 仇恨 ，
仇恨	LL	就 意味 著 再 去 溯 尋 戰爭 、 挑動 仇恨 、 放棄 和平 ，
干擾	LL	北京 試圖 超越 台灣 內部 政黨 輪替 執政 的 干擾 ，
窠臼	LL	蔡英文 必須 能夠 掙脫 民進黨 的 舊有 窠臼 ，
陷阱	LL	「 九二 共識 」 不僅 不 是 讓 人 掉入 陷阱 ，
仇恨	LL	仇 中 的 台獨 異夢 卻 必然 呼喚 仇恨 和 戰爭 ，
潰敗	LL	會不會 又 潰敗 於 最後 一 哩 ，
幻影	LL	也 使得 台灣 政黨 政治 與 街頭 政治 間 幻影式 的 呼應 關係 ，
杯葛	LL	以 翻轉 目前 兩 黨 的 杯葛 及 惡鬥 現象 。
惡鬥	LL	以 翻轉 目前 兩 黨 的 杯葛 及 惡鬥 現象 。
嚴重	LL	當然 構成 嚴重 的 誤導 ，
誤導	LL	當然 構成 嚴重 的 誤導 ，
幻影	LL	也 正 是 台灣 民主 政治 中 一直 無法 消除 的 幻影 ：
嚴重	LL	往後 的 分殊 恐怕 會 更 嚴重 。
憂慮	LL	在 憂慮 的 驅使 下 ，
爆發	LL	接著 爆發 了 以 「 反 服貿 」 為 名 ，
底蘊	LL	實則 是以 仇 中 為 底蘊 的 太陽花 學運 ，
譴責	LL	對 不同 主張 者 毫不 留情 地 譴責 、 詆毀 和 攻擊 。
詆毀	LL	對 不同 主張 者 毫不 留情 地 譴責 、 詆毀 和 攻擊 。
攻擊	LL	對 不同 主張 者 毫不 留情 地 譴責 、 詆毀 和 攻擊 。
藉口	LL	仇 中 邏輯 利用 了 分配 不 正義 為 藉口 ，
矛盾	LL	但 若 不能 解開 其 兩岸 論述 的 政經 矛盾 ，
惡化	LL	各 國 所得 分配 之所以 在 最近 數十年 持續 惡化 ，
衝擊	LL	全球化 的 影響 與 衝擊 顯然 更 大 。
病因	LL	當然 必須 積極 找出 病因 、 對症下藥 。
對症下藥	LL	當然 必須 積極 找出 病因 、 對症下藥 。
大話	LL	乃至 說說 漂亮 大話 。
杯葛	LL	除了 全力 用 在 批評 及 杯葛 馬 政府 ，
嚴重	LL	而是 人們 對 久處 溫室 者 是否 具 「 民胞物與 」 精神 表達 嚴重 懷疑 。
惡化	LL	連 分 配面 的 問題 也 更加 惡化 。
機關 算 盡	LL	藍 綠 機關 算 盡 ，
奪取	LL	積極 奪取 修憲 話語權 。
機關 算 盡	LL	正 所謂 「 機關 算 盡 太 聰明 ，
剝奪	LL	卻 刻意 要 剝奪 一些 民眾 的 投票 權利 ，
翻來覆去	LL	自己 對 修憲 翻來覆去 的 大話 ，
大話	LL	自己 對 修憲 翻來覆去 的 大話 ，
交易	LL	但 觀察 他們 在 政治 上 的 合縱 連橫 、 權力 交易 、 乃至 標籤 更換 ，
厭惡	LL	顯然 是 厭惡 已 極 ；
扭曲	LL	或 一直 往 某 個 扭曲 的 方向 傾斜 。
交易	LL	另一方面 卻 又 私下 跟 民進黨 談 交易 ；
惡化	LL	並 成為 當時 兩岸 關係 急遽 惡化 以致 斷裂 的 拐點 。
危機	LL	發生 飛彈 危機 及 美國 航空母艦 通過 台灣海峽 ，
誤解	LL	容有 過度 解讀 或 誤解 之 處 ，
衝擊	LL	必然 會 受 李登輝 東京 行 的 衝擊 。
衝撞	LL	繼 太陽 花 學運 占領 立法院 並 衝撞 行政院 後 ，
侵犯	LL	人 們 即可 任意 侵犯 。
動輒	LL	動輒 拿 革命 、 內戰 、 戡亂 年代 的 邏輯 ，
荒謬	LL	這 是 從 太陽 花 學運 以來 的 荒謬 現象 ，
謾罵	LL	就 可以 謾罵 甚至 違法 衝撞 ，
違法	LL	就 可以 謾罵 甚至 違法 衝撞 ，
衝撞	LL	就 可以 謾罵 甚至 違法 衝撞 ，
扭曲	LL	居然 連 慰安婦 的 痛苦 經驗 都 扭曲 成 「 自願 」 。
隨便	LL	不能 隨便 因 「 身分 」 而 轉彎 。
踐踏	LL	這 真是 踐踏 法治 、 扭曲 公民 概念 的 最 糟 示範 。
扭曲	LL	這 真是 踐踏 法治 、 扭曲 公民 概念 的 最 糟 示範 。
侵犯	LL	那 不僅 是 立法權 侵犯 行政權 ，
指使	LL	那些 並肩 抗議 的 學生 或 幕後 指使 的 政客 ，
醜化	LL	抗議 者 又 將 如何 醜化 他們 ？
侵犯	LL	將 出現 立法權 侵犯 行政權 的 憲政 荒謬劇 。
染指	LL	立法院 竟 連 課綱 都 想 染指 ，
癱瘓	LL	並 幾乎 癱瘓 了 馬 政府 的 執政 能力 ；
癥結	LL	癥結 就 在 ，
上演	LL	則 不僅 是 台灣 再度 上演 「 學生 街頭 治國 」 ，
抹煞	LL	反 課綱 的 學生 不致 覺得 自己 的 感受 被 抹煞 ，
被 踐踏	LL	支持 課綱 的 學生 也 不會 覺得 自己 的 認知 被 踐踏 。
上演	LL	臨時會 就算 要 上演 干預 大 戲 ，
干預	LL	臨時會 就算 要 上演 干預 大 戲 ，
倒退	LL	卻 始終 在 原地 踏步 甚至 向 後 倒退 ？
衝撞	LL	怎麼 會 讓 高中生 直接 去 衝撞 教育部 ？
煽風 點火	LL	媒體 則 熱中 於 煽風 點火 ，
倒退	LL	台灣 反而 節節 倒退 。
危機	LL	諸如 經濟 轉型 、 能源 議題 、 修憲 、 財政 危機 等 ，
根本	LL	朝野 反而 根本 無法 坐下來 談 。
陷	LL	便 陷入 「 雞 同鴨 講 」 的 窘境 。
窘境	LL	便 陷入 「 雞 同鴨 講 」 的 窘境 。
可恥	LL	寫下 民主 國家 的 可恥 紀錄 ；
區區	LL	區區 一兩百 名 學生 就 能 發動 反 課綱 ，
癥結	LL	癥結 就 在 ，
摧毀	LL	最後 都 被 用於 內部 的 自我 抵銷 和 摧毀 ；
危險	LL	危險 與 衝突 。
衝突	LL	危險 與 衝突 。
陷	LL	反 讓 台灣 陷入 不安 ？
不安	LL	反 讓 台灣 陷入 不安 ？
爆發	LL	以免 重蹈 福島 電廠 遭 海嘯 侵襲 後 失去 電源 而 爆發 核災 的 覆轍 。
核災	LL	以免 重蹈 福島 電廠 遭 海嘯 侵襲 後 失去 電源 而 爆發 核災 的 覆轍 。
重蹈 福島 電廠 遭 海嘯 侵襲 後 失去 電源 而 爆發 核災 的 覆轍	LL	以免 重蹈 福島 電廠 遭 海嘯 侵襲 後 失去 電源 而 爆發 核災 的 覆轍 。
倒退	LL	台灣 能源 政策 則 繼續 原地 踏步 、 甚至 倒退 。
陷	LL	則 陷入 無 人 聞問 的 狀態 。
嚴重	LL	比 早年 核電廠 設計 時 的 設想 還要 嚴重 。
根本	LL	調查 根本 停滯 。
衝突	LL	還是 要 衝突 ？
衝撞	LL	隱含 著 要 以 民粹 去 衝撞 大國 秩序 的 暗喻 。
煽動	LL	煽動 更多 人 拋棄 自我 民族 根源 ，
陷	LL	使 兩岸 陷入 準 戰爭 邊緣 ；
衝突	LL	更 可能 掀起 兩岸 衝突 的 驚天惡浪 ；
錯覺	LL	使 台灣 人民 對 台獨 的 正當性 產生 幻想 與 錯覺 。
絕無 可能	LL	不僅 絕無 可能 使 日本 支持 台獨 ，
撕裂	LL	反而 使 台灣 更加 撕裂 。
撕裂	LL	大家 看 一 看 這 個 被 李登輝 此 類 言行 撕裂 至 此 的 台灣 ，
撕裂	LL	撕裂 台灣 ，
撕裂	LL	撕裂 台灣 ，
仇恨	LL	只有 使 台灣人 陷於 相互 仇恨 與 毀滅 ，
撕裂	LL	「 心靈 台獨 」 只 能 惡化 台灣 的 撕裂 ，
賠上	LL	蔡英文 若 賠上 了 人格 信任 ，
矛盾	LL	致使 北京 在 這 場 史觀 辯論 中 陷於 自我 矛盾 。
矛盾	LL	主要 源自 北京 在 兩岸 史觀 的 種種 自相矛盾 。
狹隘	LL	近年 來 北京 卻 將 「 九二 共識 」 狹隘 地 視為 「 反對 台獨 」 的 同義詞 ，
惡化	LL	已 逐步 惡化 為 長期 病徵 ，
嚴重	LL	大陸 經濟 變局 嚴重 衝擊 台商 生存 發展 ，
嚴重	LL	是 全球 金融 海嘯 以來 最 嚴重 的 衰退 。
惡化	LL	且 惡化 速度 不斷 加快 。
嚴酷	LL	更 嚴酷 的 現實 是 ，
陷	LL	經濟 就 陷入 長期 貧血式 成長 ，
危機	LL	這 是 當前 台灣 經濟 最 大 的 危機 。
危機	LL	最近 又 遇到 股市 暴跌 危機 ，
嚴重	LL	面對 成長 減緩 、 出口 衰退 、 資金 外流 愈來愈 嚴重 、 深化 改革 又 受挫 的 嚴峻 情勢 ，
衝擊	LL	對 台灣 經濟 衝擊 也 將 日益 擴大 。
荒謬	LL	這 又 是 多 荒謬 的 邏輯 ？
前車之鑑	LL	那 正 是 李登輝 與 陳水扁 的 前車之鑑 。
絕無 可能	LL	台獨 已 絕無 可能 實現 ，
撕裂	LL	徒 為 撕裂 台灣 的 凶器 。
根本	LL	這 場 大頭 大腦 的 「 研討會 」 根本 就 沒有 召開 的 必要 。
交易	LL	作 君子 的 開誠布公 或 小人 的 攤牌 交易 ，
上演	LL	而 不 是 上演 這 種 令 人 反胃 的 宣示秀 給 民眾 看 笑話 。
煽動	LL	太陽 花 衝撞 可以 推給 在野黨 的 反 中 煽動 ，
窄巷	LL	民主 政治 走入 民粹 的 窄巷 ，
撕裂	LL	反而 使 社會 陷入 更 大 的 混亂 和 撕裂 ；
奪取	LL	甚至 由 本土派 簇擁 奪取 主席 職位 ；
嚴重	LL	更 嚴重 的 是 ，
踐踏	LL	馬英九 任內 八年 標榜 的 種種 價值 將 遭 橫掃 踐踏 ，
根本	LL	問題 根本 不 在 他 要 做到 哪 一 天 ，
罔顧	LL	卻 罔顧 大局 之 安危 ，
崩裂	LL	是 藍軍 形勢 的 崩裂 和 民意 支持 的 離散 。
氣焰 高漲	LL	「 反中 」 氣焰 高漲 ，
矛盾	LL	這 也 是 矛盾 現象 。
危機	LL	這 個 實彈 演習 「 與 一九九六年 的 台灣海峽 飛彈 危機 ，
大剌剌	LL	它 不再 是 大剌剌 地 吆喝 ，
危機	LL	它 「 與 一九九六年 的 台灣海峽 飛彈 危機 」 不可 同日而語 ；
危機	LL	一九九六年 的 飛彈 危機 ，
奪取	LL	在 奪取 世界 第一 的 旗幟 前 ，
傷痕	LL	才 會 傷痕累累 。
大話	LL	民進黨 所有 的 改革 大話 都 將 現出 原形 ，
短短	LL	不過 短短 十 個 月 的 時間 ，
諷刺	LL	更 諷刺 白色 力量 已 變成 「 白賊 力量 」 。
一廂情願	LL	柯文哲 的 兩 度 妥協 證明 政策 不能 一廂情願 ；
鬥爭	LL	目的 只 為 政治 鬥爭 。
危機	LL	助 他 安然 度過 包括 MG 149 、 老鼠尾 竊聽 事件 等 危機 。
諷刺	LL	除了 諷刺 ，
諷刺	LL	諷刺 的 是 ，
干擾	LL	有時 充滿 奇怪 的 干擾 因素 ，
驅逐	LL	那 就 極 有 可能 落入 劣幣 驅逐 良幣 的 漩渦 。
矛盾	LL	這樣 的 矛盾 ，
短短	LL	不過 短短 四 個 字 ，
短短	LL	短短 一 周 內 ，
戲碼	LL	之所以 不斷 上演 這些 難看 的 戲碼 ，
陷	LL	讓 國家 社會 發展 陷入 停頓 。
窘境	LL	化解 了 全民健保 入不敷出 的 窘境 。
嚴重	LL	各 地 農舍 的 濫建 嚴重 侵蝕 了 良田 綠地 ，
癥結	LL	其中 癥結 ，
薄弱	LL	一 是 意志 薄弱 ，
羞辱 民主	LL	這 不 是 在 羞辱 民主 政治 嗎 ？
嚴重	LL	是 去年 的 太陽花 學運 對 馬 政府 的 威信 構成 嚴重 挑戰 ，
衝擊	LL	太陽花 學運 對 台灣 政治 的 衝擊 ，
剝奪	LL	台灣 分配 不均 及 世代 剝奪 問題 表面化 ；
衝撞	LL	街頭 運動 衝撞 民主 體制 和 社會 秩序 ，
倒退	LL	政治 論述 出現 倒退 現象 ，
動輒	LL	動輒 霸凌 民間 的 不同 意見 。
抹煞	LL	他們 認同 的 價值 遭到 抹煞 ，
衝擊	LL	執政黨 飽受 太陽花 衝擊 ，
癱瘓	LL	學生 占領 國會 、 癱瘓 政府 的 行動 ，
衝擊	LL	不免 對 比較 保守 的 民眾 構成 價值 上 的 衝擊 與 挑戰 。
仇恨	LL	摻入 太多 仇恨 與 挑釁 ，
動輒	LL	或 動輒 予以 否定 。
癥結	LL	癥結 其實 不 在 誰 代表 台灣 、 誰 代表 中華民國 的 問題 ，
崩盤	LL	儘管 這 是 為了 避免 大選 崩盤 不得不 為之 舉措 ，
逼 得	LL	只 能 被 逼 得 不斷 往後 倒退 。
窘境	LL	不致 弄到 洪秀柱 以 二軍 上陣 卻 又 遭 強 換 的 窘境 。
得不償失 。	LL	終究 得不償失 。
窄巷	LL	要 說 台灣 不斷 走入 窄巷 的 政經 困境 ，
譴責	LL	譴責 執政黨 易如反掌 ，
挾制	LL	若是 被 太陽花 等 現象 挾制 ，
醜化	LL	達到 了 醜化 馬政府 的 目的 ；
矛盾	LL	主要 是 這 已 造成 了 一 種 矛盾 的 自傷 局面 ：
撕裂	LL	它 在 台灣 內部 造成 的 撕裂 ，
憂慮	LL	這 不能不 說 是 一 個 令 人 憂慮 的 現象 。
扭曲	LL	把 兩岸 關係 扭曲 成 一 個 三角 關係 ，
醜化	LL	則 不僅 是 惡劣 的 醜化 手法 ，
嚴重	LL	更 嚴重 的 是 ，
嚴重	LL	這 在 國內 製造出 嚴重 的 政治 歧見 ，
矛盾	LL	更 矛盾 的 是 ，
故意	LL	故意 踰越 憲法 分際 ，
矛盾	LL	就是 一 項 自我 矛盾 的 敘述 ：
混亂	LL	她 難道 能 把 兩岸 關係 帶回 陳水扁 時代 的 緊繃 和 混亂 ？
交易	LL	馬 總統 力推 的 證券 交易 所得稅 終 在 立法院 遭到 廢除 ，
矛盾	LL	更 凸顯出 事態 的 矛盾 和 混亂 。
交易	LL	政府 對 課徵 技術 及 交易 動態 掌握 不足 ，
衝擊	LL	使 新 稅制 對 股市 的 衝擊 缺乏 評估 ，
杯葛	LL	更 低估 了 既得利益 者 反彈 杯葛 的 威力 。
讓 人 遺憾	LL	讓 人 遺憾 。
大話	LL	渾然 忘 了 自己 稍早 在 修法 過程 中 說 過 什麼 公平 正義 之 大話 。
故意	LL	他們 故意 按兵不動 ，
動輒	LL	民進黨 立委 平時 動輒 奢談 資本 利得 應該 課稅 的 正義 ，
短短	LL	短短 幾 天 即可 棄守 ；
糾纏	LL	而 糾纏 台灣 五十 年 的 社會 公平 問題 ，
區區	LL	一般 市井小民 區區 小額 利息 、 稿費 筆筆 都 要 扣繳 補充 保費 ，
杯葛	LL	在 民進黨 杯葛 下 ，
衝擊	LL	加入 ＴＰＰ 對 弱勢 產業 也 可能 造成 衝擊 ，
干擾	LL	後者 則 暗示 要 面對 中國 大陸 的 干擾 。
矛盾	LL	卻 仍 是 一 個 大 矛盾 。
摧毀	LL	又 算 不 算 摧毀 了 「 現狀 」 ？
矛盾	LL	一 眼 即可 看出 是 政策 的 矛盾 ；
矛盾	LL	也 是 蔡英文 論述 上 的 矛盾 。
陷	LL	國政 若 陷於 此 種 賭局 ，
凶險	LL	何其 凶險 ？
根本	LL	她 起初 根本 否認 有 「 九二 共識 」 ，
矛盾	LL	即 形同 將 其 政治 命運 交給 了 她 自我 矛盾 的 性格 。
戰場	LL	這 是 不 是 選錯 了 戰場 ？
喪志	LL	或者 因為 灰心 喪志 而 隨便 投下 廢票 ，
內亂	LL	一方面 是 國民黨 提名 過程 內亂 不 止 ，
爾虞我詐	LL	而 台灣 選民 長期 耳濡目染 這些 爾虞我詐 ，
混亂	LL	目的 無非 是 企求 在 混亂 的 選 局 中 使 選票 發揮 最 大 綜效 。
衝擊	LL	這 從 二 〇 〇 八 年 綠營 在 陳水扁 貪腐 的 衝擊 下 仍 能 保持 四成 多 的 得票率 ，
動輒	LL	動輒 因 單一 事件 受到 動搖 。
予取予求	LL	對 法案 即可 予取予求 ；
危機	LL	化解 了 國家 極 右傾 的 危機 。
玩弄 於 股掌 之上	LL	不 憚 於 將 台灣 民眾 玩弄 於 股掌 之上 。
霸占	LL	並 為 此 霸占 立法院 議場 主席台 達 五 天 四 夜 之 久 ，
摧毀	LL	痛罵 國民黨 「 出賣 國民 健康 」 、 「 摧毀 台灣 養 豬 產業 」 ，
傷害	LL	對 個別 個體 傷害 最 小 ，
杯葛	LL	發動 群眾 杯葛 。
矛盾	LL	就 顯得 前後 矛盾 且 難以 自圓其說 了 。
罔顧	LL	指控 馬 政府 罔顧 人民 生命 安全 ？
杯葛	LL	如果 當初 民進黨 的 杯葛 抗爭 有理 ，
霸占	LL	發動 學生 霸占 國會 抗爭 ，
杯葛	LL	並 利用 其 餘威 持續 杯葛 。
矛盾	LL	言行 如此 自相矛盾 ，
戲碼	LL	大家 不妨 想像 其中 幾 齣 戲碼 ：
陷	LL	要 民眾 承認 自己 誤 陷於 這 場 「 太陽花 的 期望 」 ，
矛盾	LL	民進黨 與 時代 力量 矛盾 乍現
嚴重	LL	已 嚴重 威脅 民進黨 的 立委 席次 。
矛盾	LL	「 大綠 」 和 「 小綠 」 之間 的 矛盾 已 現 ，
窘境	LL	才 會 出現 今天 爭搶 政黨票 的 窘境 。
矛盾	LL	民進黨 和 時代 力量 已 爆發 過 一 次 嚴重 矛盾 ，
密室 協商	LL	並 嚴詞 批評 柯建銘 是 密室 協商 始作俑者 。
難堪	LL	皆 預告 了 藍軍 得票 版圖 消失 的 難堪 不會 是 意外 。
根本	LL	也許 馬英九 對 國民黨 根本 沒有 感情 。
潰敗	LL	面對 這 場 雪崩式 的 潰敗 ，
恥	LL	是 可恥 的 。
政府 的 失 能	LL	馬 政府 的 失 能 和 國民黨 的 分崩 ，
陷	LL	讓 國民黨 的 根 能 扎 在 被 綠營 攻陷 的 土地 上 ，
狡猾	LL	有 一 種 狡猾 的 預言 是 ：
狠狠	LL	在 這 個 事件 中 被 狠狠 打 了 一 巴掌 的 ，
逾越	LL	民進黨 卻 逾越 憲法 對 現任 政府 作出 諸多 限制 ，
根本	LL	根本 不 把 憲法 放 在 眼 裡 。
矛盾	LL	這 項 矛盾 ，
侵犯	LL	民進黨 的 《 交接 條例 》 草案 卻 充斥 著 侵犯 憲法 規定 的 條文 ，
侵犯	LL	這 不僅 侵犯 現有 政府 職權 ，
矛盾	LL	卻 不顧 自己 的 吃相 和 矛盾 。
壟斷	LL	是 因為 希望 推動 「 反 媒體 壟斷法 」 ，
諷刺	LL	諷刺 的 是 ，
嚴重	LL	更 嚴重 的 是 ，
大剌剌	LL	他們 在 大剌剌 高唱 「 我 是 台獨 」 之 際 ，
衝撞	LL	黨 內 大員 亦 戒 不 掉 在野 衝撞 體制 的 脾性 ，
罔顧	LL	甚至 罔顧 「 當家 不 鬧事 」 的 道理 。
衝撞	LL	正 因 在野 衝撞 心態 難 改 ，
動輒	LL	談判 人員 將 動輒 被 彈劾 甚或 科 以 刑責 ；
衝撞	LL	民進黨 長期 街頭 衝撞 ，
諷刺	LL	一 則 諷刺 「 那些 為 正義 哭 得 死去活來 的 文藝 青年 」 ，
肆無忌憚	LL	不能 像 尋常 網民 一樣 肆無忌憚 。
嚴重	LL	文林苑 事件 對 台灣 都 更 構成 嚴重 衝擊 ，
醜化	LL	就 要 千方百計 加重 醜化 ，
譴責	LL	社運界 只有 太陽 花 學運 領袖 林飛帆 站出來 譴責 ，
陷	LL	台灣 一次次 陷 在 這 種 「 街頭 熱情 」 與 「 政治 背叛 」 的 循環 中 ，
踐踏	LL	自己 認同 的 社運 就 可以 超越 法律 、 踐踏 法治 ，
癱瘓	LL	因為 這 將 癱瘓 政府 機構 的 正常 運作 。
驅逐	LL	且 議長 王金平 及 朝野 立委 因 不同 盤算 而 不 願 驅逐 學生 ，
嚴重	LL	更 嚴重 踐踏 了 公權力 ，
陷	LL	整 個 行政 體系 次日 便 將 陷於 癱瘓 ，
嚴重	LL	更 嚴重 的 是 ，
傷害	LL	確實 傷害 了 民主 法治 。
混亂	LL	結果 政策 卻 引發 混亂 。
侵犯	LL	侵犯 了 「 校園 自主 」 ，
混亂	LL	以免 徒滋 混亂 。
剝奪	LL	反而 剝奪 了 各 校 的 自主 空間 。
荒謬	LL	將 兩 人 相提並論 原是 極 荒謬 的 事 ，
膚淺	LL	總統府 恐 不宜 用 如此 膚淺 的 理由 跟進 王定宇 的 態度 。
譴責	LL	甚至 在 他 返國 時 逕予 譴責 或 追究 ，
咬死	LL	王定宇 只要 咬死 藍 營 對手 ，
傷害	LL	那 對 台灣 的 傷害 將 沒完沒了 。
賠上	LL	恐怕 都 賠上 了 自己 的 形象 和 原則 ，
自傷	LL	結果 勢必 是 自傷 自殘 。
危機	LL	何煖軒 日前 迅速 化解 華航 空服員 罷工 危機 ，
剝奪	LL	卻 使得 警察 的 公權力 尊嚴 相對 受到 剝奪 ，
矛盾	LL	包括 勞工 教師節 放假 、 教師 卻 不能 放 的 矛盾 ，
難辭其咎	LL	如果說 華航 前 高層 處理 空服員 問題 不當 而 難辭其咎 ，
危機	LL	何煖軒 接手 處理 其實 引發 進一步 的 危機 ，
惡化	LL	讓 問題 惡化 ，
衝突	LL	雙方 發生 口角 衝突 ，
踐踏	LL	更 是 歪曲 事實 踐踏 法治 。
癱瘓	LL	當時 學生 以 占領 議場 癱瘓 國會 ，
熱鬧	LL	林岱樺 帶外媒 前往 現場 只是 為 湊 學運 的 熱鬧 ，
衝突	LL	衝突 地點 是 在 立院 門口 ，
根本	LL	林岱樺 根本 未 踏入 議場 ，
嚴重	LL	推打 警察 不 算 嚴重 暴行 ，
根本	LL	把 根本 沒 開 的 會 說 得 煞有介事 ，
動輒	LL	民進黨 動輒 指控 「 法院 是 國民黨 開 的 」 ，
錯愕	LL	這樣 的 景象 讓 人 錯愕 ，
根本	LL	根本 是 汙辱 軍人 ，
傷害	LL	傷害 軍心 。
嚴重	LL	如今 海軍 發生 中士 誤射 飛彈 如此 嚴重 的 危機 ，
羞辱	LL	受盡 羞辱 ，
譴責	LL	卻 不 聞 任何 內閣 官員 或 民進黨 立委 出面 譴責 示威 者 ，
動輒	LL	若 政治 動輒 干預 ，
羞辱	LL	教育部 讓 專員 在 前線 接受 學生 羞辱 以 抵擋 壓力 。
矛盾	LL	更 矛盾 的 是 ，
困窘	LL	如果說 失業 收費員 處境 困窘 ，
衝擊	LL	因為 Uber 的 衝擊 湧至 ，
根本	LL	正 是 因為 全球 戰略 格局 已經 產生 根本性 的 改變 所 致 。
陷	LL	蔡英文 團隊 卻 猶 仍 深陷 惶恐 灘頭 ，
陷	LL	整 個 經濟 已然 緩緩 陷入 緊縮 的 循環 。
